
====================================================================================================
RATE-NOISE AMPLITUDE SWEEP, SETPOINT CONVENTION (NO MEAN RENORMALISATION): run-time reduction at matched balanced fidelity
  Same sweep as `noise` but with delta = 0 taken as the laser setpoint, so the mean rate is free to move. Mean-preserving renormalisation pushes the median switching gain below 1 when the photon order is ~4, which makes the typical shot easier and could mask harm; this is the cross-check.
  detector: ideal detector (no dead time, no afterpulsing)
  rate noise: no rate noise
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  t_fcm(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_fcm  sp_count
                           0.83      15.25       12.62      12.62       12.35     1.23    [1.19,1.27]    1.21      1.21
                           0.84      16.49       13.16      13.16       12.91     1.28    [1.24,1.31]    1.25      1.25
                           0.85      17.87       13.73      13.73       13.54     1.32    [1.29,1.33]    1.30      1.30
                           0.86      19.67       19.33      19.37       16.07     1.22    [1.19,1.34]    1.02      1.02
                           0.87      21.89       20.52      20.66       16.55     1.32    [1.27,1.37]    1.06      1.07
                           0.88      24.36       21.78      22.04       17.91     1.36    [1.18,1.41]    1.11      1.12
                           0.89      28.06       23.12      23.52       22.13     1.27    [1.20,1.40]    1.19      1.21
                           0.90      39.03       24.54      42.69       22.81     1.71    [1.35,1.71]    0.91      1.59
--------------------------------------------------------------------------------------------------------------------
      sigma0.1      10.4   0.55       1.28        4.22       4.22        1.22     1.05    [1.03,1.07]    0.30      0.30
                           0.56       1.51        4.22       4.22        1.44     1.04    [1.02,1.06]    0.36      0.36
                           0.57       1.77        4.22       4.22        1.71     1.03    [1.03,1.04]    0.42      0.42
                           0.58       2.04        4.22       4.22        1.93     1.06    [1.04,1.08]    0.48      0.48
                           0.59       2.34        4.22       4.22        2.17     1.08    [1.06,1.10]    0.55      0.55
                           0.60       2.63        4.22       4.22        2.45     1.08    [1.06,1.09]    0.62      0.62
                           0.61       2.94        4.22       4.22        2.75     1.07    [1.06,1.08]    0.70      0.70
                           0.62       3.30        4.22       4.22        3.02     1.09    [1.08,1.11]    0.78      0.78
                           0.63       3.65        4.22       4.22        3.31     1.10    [1.09,1.12]    0.87      0.87
                           0.64       3.98        4.22       4.22        3.63     1.09    [1.08,1.11]    0.94      0.94
                           0.65       4.35        4.22       4.22        4.22     1.03    [1.00,1.09]    1.03      1.03
                           0.66       4.77        4.72       4.72        4.34     1.10    [1.04,1.10]    1.01      1.01
                           0.67       5.19        4.97       4.97        4.78     1.09    [1.05,1.10]    1.04      1.04
