experiment,detector,point_index,point,sweep_value,power_uw,detection_efficiency,photons_per_bright_dwell,contrast,switching_ratio,snr_per_bright_dwell,p_bright_stationary,gamma_tot_khz,horizon_us,noise_sigma,noise_tau_c_ms,noise_kind,noise_photon_order,noise_renormalise,q_excess_finest_bin,target_fidelity,t_threshold_us,t_adaptive_count_us,t_fixed_count_mmpp_us,t_adaptive_mmpp_us,speedup_mmpp,speedup_mmpp_ci_low,speedup_mmpp_ci_high,speedup_count,speedup_count_ci_low,speedup_count_ci_high,speedup_fixed_count_mmpp,speedup_fixed_count_mmpp_ci_low,speedup_fixed_count_mmpp_ci_high
noise,ideal,0,sigma0,0.0,5.437,1.0,10.401528157851567,0.9607843137254903,7.47457627118644,8.581846845101913,0.11800000000000001,9.419999999999998,636.9426751592358,0.0,0.1,off,3.9828664476817788,mean,-0.01153106199531484,0.55,1.2286412756617455,4.201329180340196,4.201329180340196,1.177262314803292,1.0436427465760156,1.0278441781479786,1.0732273369873004,0.29244108778980704,0.27598041906673726,0.3112202843129859,0.29244108778980704,0.27598041906673726,0.3112202843129859
noise,ideal,0,sigma0,0.0,5.437,1.0,10.401528157851567,0.9607843137254903,7.47457627118644,8.581846845101913,0.11800000000000001,9.419999999999998,636.9426751592358,0.0,0.1,off,3.9828664476817788,mean,-0.01153106199531484,0.56,1.4684778182363392,4.201329180340196,4.201329180340196,1.3951589166108278,1.05255236572162,1.0317475884549074,1.070424218678152,0.34952696044574905,0.32828255564318726,0.3669234756762503,0.34952696044574905,0.32828255564318726,0.3669234756762503
noise,ideal,0,sigma0,0.0,5.437,1.0,10.401528157851567,0.9607843137254903,7.47457627118644,8.581846845101913,0.11800000000000001,9.419999999999998,636.9426751592358,0.0,0.1,off,3.9828664476817788,mean,-0.01153106199531484,0.57,1.7193237830147274,4.201329180340196,4.201329180340196,1.6533854673874695,1.0398807881936012,1.031919017165637,1.051301986590116,0.40923329480112475,0.3833215677275262,0.4341387309961906,0.40923329480112475,0.3833215677275262,0.4341387309961906
noise,ideal,0,sigma0,0.0,5.437,1.0,10.401528157851567,0.9607843137254903,7.47457627118644,8.581846845101913,0.11800000000000001,9.419999999999998,636.9426751592358,0.0,0.1,off,3.9828664476817788,mean,-0.01153106199531484,0.58,1.9989822592155726,4.201329180340196,4.201329180340196,1.8849222649591566,1.060511776202552,1.043558583878898,1.079303113545172,0.4757975805775133,0.4467624012231224,0.5036227107054967,0.4757975805775133,0.4467624012231224,0.5036227107054967
noise,ideal,0,sigma0,0.0,5.437,1.0,10.401528157851567,0.9607843137254903,7.47457627118644,8.581846845101913,0.11800000000000001,9.419999999999998,636.9426751592358,0.0,0.1,off,3.9828664476817788,mean,-0.01153106199531484,0.59,2.295290295785645,4.201329180340196,4.201329180340196,2.1252199526065816,1.0800248195347837,1.0614666968603335,1.1017886592994344,0.5463247932407399,0.5153758179319338,0.5782468600134723,0.5463247932407399,0.5153758179319338,0.5782468600134723
noise,ideal,0,sigma0,0.0,5.437,1.0,10.401528157851567,0.9607843137254903,7.47457627118644,8.581846845101913,0.11800000000000001,9.419999999999998,636.9426751592358,0.0,0.1,off,3.9828664476817788,mean,-0.01153106199531484,0.6,2.5889642215171706,4.201329180340196,4.201329180340196,2.3961517835086896,1.0804675393835634,1.0645511413296682,1.1003189649669227,0.6162250350750981,0.5876348465818567,0.648068624341784,0.6162250350750981,0.5876348465818567,0.648068624341784
noise,ideal,0,sigma0,0.0,5.437,1.0,10.401528157851567,0.9607843137254903,7.47457627118644,8.581846845101913,0.11800000000000001,9.419999999999998,636.9426751592358,0.0,0.1,off,3.9828664476817788,mean,-0.01153106199531484,0.61,2.881611030560528,4.201329180340196,4.201329180340196,2.7016231249710754,1.0666221368649929,1.0573304813575954,1.0819659616793948,0.6858808026861617,0.6544564010529985,0.71950793908427,0.6858808026861617,0.6544564010529985,0.71950793908427
noise,ideal,0,sigma0,0.0,5.437,1.0,10.401528157851567,0.9607843137254903,7.47457627118644,8.581846845101913,0.11800000000000001,9.419999999999998,636.9426751592358,0.0,0.1,off,3.9828664476817788,mean,-0.01153106199531484,0.62,3.192081924059996,4.201329180340196,4.201329180340196,2.9513647063311934,1.0815613255835248,1.0691366491529282,1.098541380548868,0.7597790573033656,0.7237084044220178,0.7961944993868701,0.7597790573033656,0.7237084044220178,0.7961944993868701
noise,ideal,0,sigma0,0.0,5.437,1.0,10.401528157851567,0.9607843137254903,7.47457627118644,8.581846845101913,0.11800000000000001,9.419999999999998,636.9426751592358,0.0,0.1,off,3.9828664476817788,mean,-0.01153106199531484,0.63,3.511001528934929,4.201329180340196,4.201329180340196,3.2087561969743748,1.094193922319667,1.079337183231383,1.1096358209067636,0.8356882734550761,0.8014804852036103,0.8711550472404724,0.8356882734550761,0.8014804852036103,0.8711550472404724
noise,ideal,0,sigma0,0.0,5.437,1.0,10.401528157851567,0.9607843137254903,7.47457627118644,8.581846845101913,0.11800000000000001,9.419999999999998,636.9426751592358,0.0,0.1,off,3.9828664476817788,mean,-0.01153106199531484,0.64,3.8263842839805733,4.201329180340196,4.201329180340196,3.4885950589347625,1.0968267223163912,1.0849853779369363,1.109456345758727,0.9107556489231671,0.8745666676738459,0.9475238837004003,0.9107556489231671,0.8745666676738459,0.9475238837004003
