
====================================================================================================
RATE-NOISE AMPLITUDE SWEEP (GAUSSIAN, TAU_C = 100 US): run-time reduction at matched balanced fidelity
  A single fractional intensity fluctuation drives emission linearly and switching quadratically, as the photon order requires. The filter is built from the NOMINAL rates, so this is the one error a calibrated boundary cannot absorb.
  detector: ideal detector (no dead time, no afterpulsing)
  rate noise: no rate noise
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  t_fcm(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_fcm  sp_count
                           0.84      16.21       13.00      13.10       12.63     1.28    [1.25,1.31]    1.24      1.25
                           0.85      17.40       13.52      13.64       13.19     1.32    [1.30,1.33]    1.28      1.29
                           0.86      18.75       14.06      19.06       14.02     1.34    [1.16,1.35]    0.98      1.33
                           0.87      20.46       19.97      20.19       16.65     1.23    [1.18,1.30]    1.01      1.02
                           0.88      22.95       21.22      21.38       16.84     1.36    [1.30,1.40]    1.07      1.08
                           0.89      25.55       22.55      22.64       21.98     1.16    [1.15,1.40]    1.13      1.13
                           0.90      30.15       23.96      23.98       22.21     1.36    [1.25,1.56]    1.26      1.26
--------------------------------------------------------------------------------------------------------------------
      sigma0.1      10.4   0.55       1.21        4.21       4.21        1.17     1.03    [1.02,1.06]    0.29      0.29
                           0.56       1.46        4.21       4.21        1.41     1.04    [1.02,1.06]    0.35      0.35
                           0.57       1.75        4.21       4.21        1.69     1.04    [1.03,1.05]    0.42      0.42
                           0.58       2.06        4.21       4.21        1.93     1.07    [1.05,1.09]    0.49      0.49
                           0.59       2.35        4.21       4.21        2.20     1.07    [1.05,1.09]    0.56      0.56
                           0.60       2.67        4.21       4.21        2.51     1.06    [1.04,1.08]    0.63      0.63
                           0.61       3.02        4.21       4.21        2.83     1.07    [1.05,1.08]    0.72      0.72
                           0.62       3.34        4.21       4.21        3.09     1.08    [1.07,1.10]    0.79      0.79
                           0.63       3.73        4.21       4.21        3.37     1.11    [1.09,1.12]    0.88      0.88
                           0.64       4.03        4.21       4.21        3.68     1.09    [1.00,1.11]    0.96      0.96
                           0.65       4.35        4.21       4.21        4.21     1.03    [1.00,1.09]    1.03      1.03
                           0.66       4.71        4.70       4.70        4.28     1.10    [1.05,1.11]    1.00      1.00
                           0.67       5.07        4.96       4.96        4.73     1.07    [1.05,1.10]    1.02      1.02
                           0.68       5.45        5.23       5.23        4.89     1.11    [1.09,1.13]    1.04      1.04
                           0.69       5.85        5.52       5.52        5.18     1.13    [1.12,1.14]    1.06      1.06
                           0.70       6.27        5.82       5.82        5.51     1.14    [1.13,1.15]    1.08      1.08
                           0.71       6.72        6.14       6.14        5.86     1.15    [1.13,1.16]    1.09      1.09
                           0.72       7.19        6.48       6.48        6.23     1.15    [1.14,1.17]    1.11      1.11
                           0.73       7.68        6.84       6.84        6.63     1.16    [1.15,1.17]    1.12      1.12
                           0.74       8.28        7.21       7.21        7.10     1.17    [1.10,1.17]    1.15      1.15
                           0.75       9.00        7.61       7.61        7.86     1.15    [1.10,1.19]    1.18      1.18
                           0.76       9.68        9.51       9.51        9.39     1.03    [1.01,1.20]    1.02      1.02
                           0.77      10.36        9.92       9.92        9.49     1.09    [1.05,1.12]    1.04      1.04
                           0.78      11.06       10.35      10.35        9.60     1.15    [1.11,1.19]    1.07      1.07
                           0.79      11.82       10.80      10.80        9.71     1.22    [1.18,1.24]    1.09      1.09
                           0.80      12.62       11.27      11.27       10.11     1.25    [1.24,1.25]    1.12      1.12
                           0.81      13.45       11.76      11.76       10.68     1.26    [1.25,1.27]    1.14      1.14
                           0.82      14.54       12.26      12.26       12.24     1.19    [1.17,1.28]    1.19      1.19
                           0.83      15.77       12.79      12.79       12.48     1.26    [1.22,1.31]    1.23      1.23
                           0.84      17.11       13.35      13.35       12.96     1.32    [1.30,1.33]    1.28      1.28
                           0.85      18.49       13.93      13.93       13.85     1.33    [1.30,1.35]    1.33      1.33
                           0.86      20.17       19.68      19.68       16.10     1.25    [1.19,1.33]    1.02      1.02
                           0.87      22.21       20.82      20.84       16.61     1.34    [1.28,1.38]    1.07      1.07
                           0.88      24.97       22.04      22.07       17.97     1.39    [1.17,1.41]    1.13      1.13
                           0.89      28.80       23.32      23.37       21.29     1.35    [1.24,1.44]    1.23      1.23
--------------------------------------------------------------------------------------------------------------------
      sigma0.2      10.4   0.55       1.20        4.21       4.21        1.15     1.04    [1.03,1.08]    0.28      0.28
                           0.56       1.48        4.21       4.21        1.38     1.07    [1.05,1.10]    0.35      0.35
                           0.57       1.73        4.21       4.21        1.65     1.05    [1.04,1.07]    0.41      0.41
                           0.58       2.04        4.21       4.21        1.91     1.07    [1.05,1.09]    0.49      0.49
                           0.59       2.38        4.21       4.21        2.19     1.09    [1.06,1.11]    0.56      0.56
                           0.60       2.70        4.21       4.21        2.50     1.08    [1.06,1.10]    0.64      0.64
                           0.61       3.00        4.21       4.21        2.82     1.06    [1.05,1.08]    0.71      0.71
                           0.62       3.38        4.21       4.21        3.08     1.09    [1.07,1.11]    0.80      0.80
                           0.63       3.66        4.21       4.21        3.37     1.09    [1.07,1.10]    0.87      0.87
                           0.64       4.00        4.21       4.21        3.68     1.09    [1.00,1.09]    0.95      0.95
                           0.65       4.35        4.21       4.21        4.21     1.03    [1.00,1.09]    1.03      1.03
                           0.66       4.71        4.68       4.68        4.28     1.10    [1.04,1.11]    1.01      1.01
                           0.67       5.10        4.93       4.94        4.74     1.07    [1.05,1.09]    1.03      1.03
                           0.68       5.47        5.20       5.20        4.91     1.11    [1.09,1.12]    1.05      1.05
                           0.69       5.86        5.48       5.48        5.21     1.12    [1.11,1.13]    1.07      1.07
                           0.70       6.27        5.77       5.77        5.54     1.13    [1.12,1.15]    1.09      1.09
                           0.71       6.71        6.08       6.08        5.88     1.14    [1.13,1.15]    1.10      1.10
                           0.72       7.18        6.40       6.41        6.25     1.15    [1.14,1.16]    1.12      1.12
                           0.73       7.71        6.75       6.75        6.64     1.16    [1.15,1.17]    1.14      1.14
                           0.74       8.28        7.11       7.11        7.06     1.17    [1.16,1.18]    1.16      1.17
                           0.75       8.89        7.49       7.50        7.85     1.13    [1.11,1.18]    1.19      1.19
                           0.76       9.42        9.39       9.40        9.36     1.01    [1.00,1.20]    1.00      1.00
                           0.77      10.00        9.79       9.80        9.45     1.06    [1.03,1.09]    1.02      1.02
                           0.78      10.68       10.22      10.22        9.54     1.12    [1.09,1.15]    1.04      1.05
                           0.79      11.40       10.66      10.66        9.64     1.18    [1.15,1.22]    1.07      1.07
                           0.80      12.19       11.11      11.12        9.82     1.24    [1.22,1.25]    1.10      1.10
                           0.81      13.29       11.59      11.60       10.55     1.26    [1.25,1.27]    1.15      1.15
                           0.82      14.28       12.09      12.10       11.24     1.27    [1.17,1.28]    1.18      1.18
                           0.83      15.34       12.61      12.62       12.39     1.24    [1.20,1.28]    1.22      1.22
                           0.84      16.66       13.16      13.16       12.67     1.31    [1.28,1.33]    1.27      1.27
                           0.85      18.11       13.72      13.73       13.53     1.34    [1.32,1.35]    1.32      1.32
                           0.86      19.92       19.45      19.45       15.86     1.26    [1.18,1.36]    1.02      1.02
                           0.87      22.18       20.71      20.71       16.47     1.35    [1.27,1.39]    1.07      1.07
                           0.88      25.32       22.05      22.05       18.00     1.41    [1.18,1.42]    1.15      1.15
                           0.89      29.03       23.48      23.48       22.02     1.32    [1.24,1.47]    1.24      1.24
--------------------------------------------------------------------------------------------------------------------
      sigma0.3      10.4   0.55       1.16        4.21       4.21        1.13     1.03    [1.03,1.13]    0.28      0.28
                           0.56       1.43        4.21       4.21        1.35     1.06    [1.03,1.08]    0.34      0.34
                           0.57       1.68        4.21       4.21        1.61     1.04    [1.03,1.06]    0.40      0.40
                           0.58       2.00        4.21       4.21        1.87     1.07    [1.05,1.09]    0.47      0.47
