experiment,detector,point_index,point,sweep_value,method,max_balanced_fidelity
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,ratio0.5,0.5,threshold,0.9169444444444445
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,ratio0.5,0.5,adaptive_count,0.9146527777777778
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,ratio0.5,0.5,fixed_count_mmpp,0.9275
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,ratio0.5,0.5,adaptive_mmpp,0.9277083333333334
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,1,ratio1.88,1.88,threshold,0.9216666666666666
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,1,ratio1.88,1.88,adaptive_count,0.9163194444444445
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,1,ratio1.88,1.88,fixed_count_mmpp,0.926875
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,1,ratio1.88,1.88,adaptive_mmpp,0.9274305555555555
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,2,ratio7.07,7.07,threshold,0.9281944444444445
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,2,ratio7.07,7.07,adaptive_count,0.9183333333333333
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,2,ratio7.07,7.07,fixed_count_mmpp,0.9341666666666667
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,2,ratio7.07,7.07,adaptive_mmpp,0.9350694444444445
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,3,ratio26.6,26.6,threshold,0.9360416666666667
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,3,ratio26.6,26.6,adaptive_count,0.9258333333333333
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,3,ratio26.6,26.6,fixed_count_mmpp,0.9410416666666667
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,3,ratio26.6,26.6,adaptive_mmpp,0.9419444444444445
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,4,ratio100,100.0,threshold,0.938125
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,4,ratio100,100.0,adaptive_count,0.930763888888889
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,4,ratio100,100.0,fixed_count_mmpp,0.9472222222222222
ratio,det_nonpar_dt2000ns_ap0.05_tau5000ns,4,ratio100,100.0,adaptive_mmpp,0.9474305555555556
