experiment,detector,point_index,point,sweep_value,power_uw,detection_efficiency,photons_per_bright_dwell,contrast,switching_ratio,p_bright_stationary,gamma_tot_khz,horizon_us,target_fidelity,t_threshold_us,t_adaptive_count_us,t_fixed_count_mmpp_us,t_adaptive_mmpp_us,speedup_mmpp,speedup_mmpp_ci_low,speedup_mmpp_ci_high,speedup_count,speedup_count_ci_low,speedup_count_ci_high,speedup_fixed_count_mmpp,speedup_fixed_count_mmpp_ci_low,speedup_fixed_count_mmpp_ci_high
power,det_nonpar_dt50ns_ap0.01_tau100ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,0.10410412003629116,0.32529989150658817,18444.51890903408,0.55,3.9261702523940984,13.545198459562291,13.545198459562291,3.8259141255760802,1.0262044895748732,0.9995191315575362,1.1367882462626817,0.289856975083477,0.27475043641733327,0.33273410740966575,0.289856975083477,0.27475043641733327,0.33273410740966575
power,det_nonpar_dt50ns_ap0.01_tau100ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,0.10410412003629116,0.32529989150658817,18444.51890903408,0.56,4.838631158272647,13.545198459562291,13.545198459562291,4.658645839204059,1.038634685975472,0.9946407368042844,1.0740722088698382,0.3572211343169206,0.30899516990388115,0.4173235064605788,0.3572211343169206,0.30899516990388115,0.4173235064605788
power,det_nonpar_dt50ns_ap0.01_tau100ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,0.10410412003629116,0.32529989150658817,18444.51890903408,0.57,5.806557204906017,13.545198459562291,13.545198459562291,5.58702608634551,1.0392930183549767,1.0161626950077594,1.0620239518352494,0.4286801129005868,0.3745214759242094,0.47185754364963256,0.4286801129005868,0.3745214759242094,0.47185754364963256
power,det_nonpar_dt50ns_ap0.01_tau100ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,0.10410412003629116,0.32529989150658817,18444.51890903408,0.58,6.590572435120891,13.545198459562291,13.545198459562291,6.291358769041254,1.047559466414794,1.0180379533952149,1.0815394917164272,0.48656152619663157,0.4403143214144428,0.5377090912790609,0.48656152619663157,0.4403143214144428,0.5377090912790609
power,det_nonpar_dt50ns_ap0.01_tau100ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,0.10410412003629116,0.32529989150658817,18444.51890903408,0.59,7.480447275345848,13.545198459562291,13.545198459562291,7.0844836857889915,1.0558916650977874,1.0200056474265133,1.0955585523648743,0.5522582262399407,0.4977528124863032,0.6019294968209322,0.5522582262399407,0.4977528124863032,0.6019294968209322
power,det_nonpar_dt50ns_ap0.01_tau100ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,0.10410412003629116,0.32529989150658817,18444.51890903408,0.6,8.429595656027265,13.545198459562291,13.545198459562291,7.977594496945031,1.056658828579884,1.0314138486471123,1.0813398725211754,0.622330907973988,0.5673337694432441,0.6796318404270858,0.622330907973988,0.5673337694432441,0.6796318404270858
power,det_nonpar_dt50ns_ap0.01_tau100ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,0.10410412003629116,0.32529989150658817,18444.51890903408,0.61,9.403775098767069,13.545198459562291,13.545198459562291,8.903703199265006,1.0561644844072682,1.0406651164255112,1.0831021898600874,0.6942515554010531,0.628487609714702,0.7540660806014958,0.6942515554010531,0.628487609714702,0.7540660806014958
power,det_nonpar_dt50ns_ap0.01_tau100ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,0.10410412003629116,0.32529989150658817,18444.51890903408,0.62,10.419299554657204,13.545198459562291,13.545198459562291,9.710023923128832,1.0730457141139385,1.0443828686187442,1.1012175427070596,0.769224576942367,0.6931045329713157,0.8340441771753885,0.769224576942367,0.6931045329713157,0.8340441771753885
power,det_nonpar_dt50ns_ap0.01_tau100ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,0.10410412003629116,0.32529989150658817,18444.51890903408,0.63,11.49182807113215,13.545198459562291,13.545198459562291,10.589365175101227,1.0852235125626686,1.0553421852005858,1.1114663078463596,0.8484060315129193,0.7690029536724875,0.91464824846265,0.8484060315129193,0.7690029536724875,0.91464824846265
power,det_nonpar_dt50ns_ap0.01_tau100ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,0.10410412003629116,0.32529989150658817,18444.51890903408,0.64,12.60956807460071,13.545198459562291,13.545198459562291,11.548339705378787,1.0918944537739605,1.0687810467376102,1.1143955040931948,0.9309253099720316,0.8477774960111955,1.0082888434817285,0.9309253099720316,0.8477774960111955,1.0082888434817285
