
====================================================================================================
594 NM LASER-POWER SWEEP: run-time reduction at matched balanced fidelity
  Powers stay inside the [0.875, 15] uW range over which the Shields et al. (2015) rate fits were measured.
  detector: non-paralyzable dead time 50 ns, afterpulse p = 0.01 with tau = 100 ns, filter rates corrected
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  t_fcm(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_fcm  sp_count
                           0.77      15.88       13.31      13.31       15.70     1.01    [1.18,1.21]    1.19      1.19
                           0.78      16.93       13.96      13.96       15.70     1.08    [1.19,1.24]    1.21      1.21
                           0.79      17.98       14.65      14.65       15.70     1.15    [1.21,1.24]    1.23      1.23
                           0.80      18.96       15.37      15.37       15.70     1.21    [1.22,1.25]    1.23      1.23
                           0.81      19.99       19.78      19.78       16.52     1.21    [1.22,1.25]    1.01      1.01
                           0.82      21.34       20.65      20.65       17.21     1.24    [1.23,1.27]    1.03      1.03
                           0.83      22.79       21.55      21.55       17.97     1.27    [1.24,1.29]    1.06      1.06
                           0.84      24.36       22.50      22.50       19.59     1.24    [1.27,1.31]    1.08      1.08
                           0.85      26.05       23.49      23.49       20.02     1.30    [1.29,1.33]    1.11      1.11
                           0.86      27.94       24.52      24.52       20.93     1.33    [1.31,1.36]    1.14      1.14
                           0.87      30.05       25.60      25.60       22.38     1.34    [1.33,1.37]    1.17      1.17
                           0.88      32.63       26.72      26.72       23.90     1.37    [1.34,1.40]    1.22      1.22
                           0.89      35.47       27.90      27.90       25.52     1.39    [1.35,1.42]    1.27      1.27
                           0.90      38.57       29.12      29.12       27.32     1.41    [1.38,1.44]    1.32      1.32
                           0.91      41.94       30.40      30.40       29.31     1.43    [1.41,1.48]    1.38      1.38
                           0.92      47.27       47.25      46.88       34.15     1.38    [1.39,1.52]    1.01      1.00
                           0.93      56.50       65.10      57.31       43.00     1.31    [1.30,2.01]    0.99      0.87
                           0.94      86.92       69.77      66.28       46.69     1.86    [1.49,2.10]    1.31      1.25
                           0.95     102.61       74.77      72.52       51.60     1.99    [1.20,2.20]    1.41      1.37
--------------------------------------------------------------------------------------------------------------------
        P4.000      15.3   0.55       1.33        4.86       4.86        1.28     1.04    [1.02,1.23]    0.27      0.27
                           0.56       1.70        4.86       4.86        1.57     1.08    [1.01,1.12]    0.35      0.35
                           0.57       2.01        4.86       4.86        1.92     1.05    [1.03,1.11]    0.41      0.41
                           0.58       2.42        4.86       4.86        2.20     1.10    [1.04,1.13]    0.50      0.50
                           0.59       2.72        4.86       4.86        2.51     1.08    [1.05,1.13]    0.56      0.56
                           0.60       3.08        4.86       4.86        2.86     1.08    [1.05,1.12]    0.63      0.63
                           0.61       3.42        4.86       4.86        3.22     1.06    [1.05,1.10]    0.70      0.70
                           0.62       3.82        4.86       4.86        3.52     1.09    [1.06,1.12]    0.79      0.79
                           0.63       4.21        4.86       4.86        3.84     1.10    [1.07,1.12]    0.87      0.87
                           0.64       4.58        4.86       4.86        4.20     1.09    [1.07,1.11]    0.94      0.94
                           0.65       4.96        4.86       4.86        4.86     1.02    [1.08,1.10]    1.02      1.02
                           0.66       5.37        5.36       5.36        4.88     1.10    [1.09,1.12]    1.00      1.00
                           0.67       5.82        5.63       5.63        5.44     1.07    [1.10,1.13]    1.03      1.03
                           0.68       6.25        5.92       5.92        5.61     1.11    [1.10,1.13]    1.06      1.06
                           0.69       6.70        6.22       6.22        5.95     1.13    [1.11,1.15]    1.08      1.08
