experiment,detector,point_index,point,sweep_value,method,max_balanced_fidelity
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,threshold,0.9779166666666667
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,adaptive_count,0.9759027777777778
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,fixed_count_mmpp,0.9758333333333333
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,adaptive_mmpp,0.9814583333333333
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,1,P2.000,2.0,threshold,0.9570138888888888
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,1,P2.000,2.0,adaptive_count,0.9524999999999999
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,1,P2.000,2.0,fixed_count_mmpp,0.9625694444444445
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,1,P2.000,2.0,adaptive_mmpp,0.9620833333333333
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,2,P4.000,4.0,threshold,0.9163888888888889
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,2,P4.000,4.0,adaptive_count,0.9152083333333334
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,2,P4.000,4.0,fixed_count_mmpp,0.9322916666666667
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,2,P4.000,4.0,adaptive_mmpp,0.9325694444444445
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,3,P8.000,8.0,threshold,0.8722916666666667
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,3,P8.000,8.0,adaptive_count,0.8703472222222222
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,3,P8.000,8.0,fixed_count_mmpp,0.8755555555555556
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,3,P8.000,8.0,adaptive_mmpp,0.8757638888888889
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,4,P15.000,15.0,threshold,0.8164583333333333
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,4,P15.000,15.0,adaptive_count,0.813125
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,4,P15.000,15.0,fixed_count_mmpp,0.8172222222222223
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,4,P15.000,15.0,adaptive_mmpp,0.8174305555555555
