experiment,detector,point_index,point,sweep_value,power_uw,detection_efficiency,photons_per_bright_dwell,contrast,switching_ratio,snr_per_bright_dwell,p_bright_stationary,gamma_tot_khz,horizon_us,noise_sigma,noise_tau_c_ms,noise_kind,noise_photon_order,noise_renormalise,q_excess_finest_bin,target_fidelity,t_threshold_us,t_adaptive_count_us,t_fixed_count_mmpp_us,t_adaptive_mmpp_us,speedup_mmpp,speedup_mmpp_ci_low,speedup_mmpp_ci_high,speedup_count,speedup_count_ci_low,speedup_count_ci_high,speedup_fixed_count_mmpp,speedup_fixed_count_mmpp_ci_low,speedup_fixed_count_mmpp_ci_high
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,26.964883999397404,0.10410412003629116,0.32529989150658817,18444.51890903408,0.0,0.1,off,2.0,mean,-0.3506050978456319,0.55,3.881206876617251,13.493899948627014,13.493899948627014,3.7723679226284674,1.0288516274714128,1.0207398041693962,1.0705323939292593,0.28762677145921467,0.27553860687877085,0.3066706567051378,0.28762677145921467,0.27553860687877085,0.3066706567051378
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,26.964883999397404,0.10410412003629116,0.32529989150658817,18444.51890903408,0.0,0.1,off,2.0,mean,-0.3506050978456319,0.56,4.676221047301251,13.493899948627014,13.493899948627014,4.445128957684205,1.0519877132512796,1.0309587132846092,1.0740594732582143,0.3465433318095003,0.32384319729467526,0.36887174160012215,0.3465433318095003,0.32384319729467526,0.36887174160012215
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,26.964883999397404,0.10410412003629116,0.32529989150658817,18444.51890903408,0.0,0.1,off,2.0,mean,-0.3506050978456319,0.57,5.495945386671644,13.493899948627014,13.493899948627014,5.23786964996645,1.049271126231033,1.038009771582242,1.0626618078606158,0.40729110246818223,0.3829088593187029,0.4330052913540573,0.40729110246818223,0.3829088593187029,0.4330052913540573
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,26.964883999397404,0.10410412003629116,0.32529989150658817,18444.51890903408,0.0,0.1,off,2.0,mean,-0.3506050978456319,0.58,6.401417222336149,13.493899948627014,13.493899948627014,6.020182854381365,1.0633260446030024,1.0473929024280435,1.0843179474361573,0.47439341085284126,0.44413831307517565,0.5027961854913214,0.47439341085284126,0.44413831307517565,0.5027961854913214
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,26.964883999397404,0.10410412003629116,0.32529989150658817,18444.51890903408,0.0,0.1,off,2.0,mean,-0.3506050978456319,0.59,7.352195401332505,13.493899948627014,13.493899948627014,6.813669289775411,1.0790361387755063,1.0601603981609569,1.1012269619164379,0.544853261794088,0.5124283889316676,0.575840676842285,0.544853261794088,0.5124283889316676,0.575840676842285
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,26.964883999397404,0.10410412003629116,0.32529989150658817,18444.51890903408,0.0,0.1,off,2.0,mean,-0.3506050978456319,0.6,8.393294687008009,13.493899948627014,13.493899948627014,7.711740708447185,1.0883787466835175,1.0708759801235264,1.1056801663147664,0.6220065895673115,0.5863107896263237,0.6570920748086554,0.6220065895673115,0.5863107896263237,0.6570920748086554
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,26.964883999397404,0.10410412003629116,0.32529989150658817,18444.51890903408,0.0,0.1,off,2.0,mean,-0.3506050978456319,0.61,9.341323596355187,13.493899948627014,13.493899948627014,8.728181868697908,1.070248505001506,1.0576650952242759,1.0916681766988587,0.6922626988430912,0.6657840362715011,0.7217223545440026,0.6922626988430912,0.6657840362715011,0.7217223545440026
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,26.964883999397404,0.10410412003629116,0.32529989150658817,18444.51890903408,0.0,0.1,off,2.0,mean,-0.3506050978456319,0.62,10.240546525458235,13.493899948627014,13.493899948627014,9.526047436291092,1.0750047796786248,1.0625890561014364,1.0872939353961335,0.7589019160098484,0.7265239010024309,0.7904929862886184,0.7589019160098484,0.7265239010024309,0.7904929862886184
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,26.964883999397404,0.10410412003629116,0.32529989150658817,18444.51890903408,0.0,0.1,off,2.0,mean,-0.3506050978456319,0.63,11.226331264337395,13.493899948627014,13.493899948627014,10.339576848367065,1.0857631244464685,1.073150825524092,1.099520656915299,0.831956017687804,0.7957758546889488,0.8684054849862874,0.831956017687804,0.7957758546889488,0.8684054849862874
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,26.964883999397404,0.10410412003629116,0.32529989150658817,18444.51890903408,0.0,0.1,off,2.0,mean,-0.3506050978456319,0.64,12.238147774790384,13.493899948627014,13.493899948627014,11.222582095907734,1.090493049656814,1.0790168522801138,1.1027448266330542,0.9069392704394255,0.8688108138396229,0.938574664266886,0.9069392704394255,0.8688108138396229,0.938574664266886
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,26.964883999397404,0.10410412003629116,0.32529989150658817,18444.51890903408,0.0,0.1,off,2.0,mean,-0.3506050978456319,0.65,13.260037492371428,13.493899948627014,13.493899948627014,12.180996451443718,1.088583971371227,0.9921709244315406,1.0977821390929685,0.982669023992624,0.9413269818422784,1.0184477400379859,0.982669023992624,0.9413269818422784,1.0184477400379859
power,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,P0.875,0.875,0.875,1.0,92.38112234969148,0.9607843137254901,8.60576776069377,26.964883999397404,0.10410412003629116,0.32529989150658817,18444.51890903408,0.0,0.1,off,2.0,mean,-0.3506050978456319,0.66,14.352411862050904,13.493899948627014,13.493899948627014,13.493899948627014,1.0636222231298849,1.0177708445637554,1.1006803773529397,1.0636222231298849,1.0065433378702981,1.0967092842943786,1.0636222231298849,1.0065433378702981,1.0967092842943786
