
====================================================================================================
594 NM LASER-POWER SWEEP: run-time reduction at matched balanced fidelity
  Powers stay inside the [0.875, 15] uW range over which the Shields et al. (2015) rate fits were measured.
  detector: non-paralyzable dead time 2000 ns, afterpulse p = 0.05 with tau = 5000 ns, filter rates corrected
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  t_fcm(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_fcm  sp_count
--------------------------------------------------------------------------------------------------------------------
        P0.875      92.4   0.55       3.71       13.41      13.41        3.21     1.16    [1.02,1.33]    0.28      0.28
                           0.56       4.20       13.41      13.41        3.98     1.06    [1.02,1.10]    0.31      0.31
                           0.57       5.08       13.41      13.41        4.77     1.06    [1.03,1.10]    0.38      0.38
                           0.58       6.00       13.41      13.41        5.66     1.06    [1.04,1.10]    0.45      0.45
                           0.59       6.88       13.41      13.41        6.35     1.08    [1.05,1.12]    0.51      0.51
                           0.60       7.81       13.41      13.41        7.12     1.10    [1.05,1.13]    0.58      0.58
                           0.61       8.74       13.41      13.41        7.98     1.10    [1.06,1.13]    0.65      0.65
                           0.62       9.57       13.41      13.41        8.92     1.07    [1.05,1.11]    0.71      0.71
                           0.63      10.46       13.41      13.41        9.73     1.07    [1.05,1.10]    0.78      0.78
                           0.64      11.45       13.41      13.41       10.62     1.08    [1.05,1.11]    0.85      0.85
                           0.65      12.59       13.41      13.41       11.59     1.09    [1.00,1.11]    0.94      0.94
                           0.66      13.91       13.41      13.41       13.41     1.04    [1.00,1.11]    1.04      1.04
                           0.67      15.57       15.22      15.22       14.90     1.04    [1.03,1.12]    1.02      1.02
                           0.68      16.70       15.97      15.97       15.33     1.09    [1.05,1.12]    1.05      1.05
                           0.69      17.85       16.77      16.77       15.96     1.12    [1.09,1.14]    1.06      1.06
                           0.70      19.08       17.60      17.60       16.87     1.13    [1.11,1.15]    1.08      1.08
                           0.71      20.40       18.47      18.47       17.83     1.14    [1.12,1.17]    1.10      1.10
                           0.72      21.79       19.38      19.38       18.84     1.16    [1.13,1.18]    1.12      1.12
                           0.73      23.27       20.34      20.34       19.91     1.17    [1.15,1.19]    1.14      1.14
                           0.74      24.79       21.35      21.35       21.05     1.18    [1.16,1.20]    1.16      1.16
                           0.75      26.29       22.40      22.40       22.19     1.19    [1.17,1.20]    1.17      1.17
                           0.76      27.89       23.51      23.51       23.31     1.20    [1.18,1.21]    1.19      1.19
                           0.77      29.53       24.68      24.68       24.44     1.21    [1.19,1.22]    1.20      1.20
                           0.78      31.27       25.90      25.90       25.75     1.21    [1.20,1.23]    1.21      1.21
                           0.79      33.13       27.18      27.18       27.14     1.22    [1.20,1.24]    1.22      1.22
                           0.80      35.14       28.53      28.53       28.60     1.23    [1.21,1.24]    1.23      1.23
                           0.81      37.28       29.94      29.94       30.08     1.24    [1.23,1.26]    1.25      1.25
                           0.82      39.63       31.42      31.42       31.47     1.26    [1.22,1.27]    1.26      1.26
                           0.83      42.12       41.80      41.80       33.88     1.24    [1.22,1.28]    1.01      1.01
                           0.84      45.02       43.93      43.93       35.18     1.28    [1.25,1.30]    1.02      1.02
                           0.85      48.30       46.18      46.18       37.02     1.30    [1.23,1.32]    1.05      1.05
                           0.86      51.81       48.54      48.54       39.75     1.30    [1.24,1.35]    1.07      1.07
                           0.87      55.57       51.02      51.02       41.26     1.35    [1.30,1.37]    1.09      1.09
                           0.88      60.24       53.62      53.62       44.00     1.37    [1.34,1.39]    1.12      1.12
                           0.89      65.99       56.36      56.36       47.32     1.39    [1.36,1.41]    1.17      1.17
                           0.90      71.24       59.24      59.24       50.58     1.41    [1.39,1.43]    1.20      1.20
                           0.91      76.81       62.27      62.27       53.68     1.43    [1.41,1.47]    1.23      1.23
                           0.92      85.21       65.45      65.45       58.49     1.46    [1.32,1.49]    1.30      1.30
                           0.93      96.45       68.80      68.80       70.68     1.36    [1.32,1.50]    1.40      1.40
                           0.94     112.84       72.31      72.31       72.64     1.55    [1.37,1.75]    1.56      1.56
                           0.95     163.53      172.86     168.50       81.97     1.99    [1.53,2.11]    0.97      0.95
                           0.96     183.35      183.73     183.64       88.20     2.08    [1.39,2.21]    1.00      1.00
                           0.97     226.58      196.90     479.55      154.29     1.47    [1.31,2.26]    0.47      1.15
--------------------------------------------------------------------------------------------------------------------
        P2.000      35.7   0.55       2.00        7.25       7.25        1.85     1.08    [1.02,1.25]    0.28      0.28
                           0.56       2.40        7.25       7.25        2.25     1.07    [1.03,1.11]    0.33      0.33
                           0.57       2.83        7.25       7.25        2.63     1.07    [1.04,1.11]    0.39      0.39
                           0.58       3.23        7.25       7.25        3.08     1.05    [1.03,1.08]    0.45      0.45
                           0.59       3.66        7.25       7.25        3.46     1.06    [1.03,1.09]    0.50      0.50
                           0.60       4.15        7.25       7.25        3.86     1.07    [1.03,1.11]    0.57      0.57
                           0.61       4.67        7.25       7.25        4.31     1.08    [1.04,1.11]    0.64      0.64
                           0.62       5.17        7.25       7.25        4.81     1.07    [1.05,1.10]    0.71      0.71
                           0.63       5.68        7.25       7.25        5.29     1.07    [1.05,1.10]    0.78      0.78
                           0.64       6.26        7.25       7.25        5.78     1.08    [1.05,1.11]    0.86      0.86
                           0.65       6.90        7.25       7.25        6.32     1.09    [1.06,1.12]    0.95      0.95
                           0.66       7.53        7.25       7.25        7.25     1.04    [1.04,1.11]    1.04      1.04
                           0.67       8.16        8.10       8.10        7.37     1.11    [1.06,1.12]    1.01      1.01
                           0.68       8.75        8.54       8.54        8.06     1.09    [1.07,1.12]    1.02      1.02
                           0.69       9.37        9.00       9.00        8.48     1.11    [1.08,1.13]    1.04      1.04
                           0.70      10.09        9.50       9.50        8.96     1.13    [1.10,1.15]    1.06      1.06
                           0.71      10.86       10.02      10.02        9.57     1.14    [1.11,1.16]    1.08      1.08
                           0.72      11.71       10.56      10.56       10.21     1.15    [1.12,1.18]    1.11      1.11
                           0.73      12.60       11.14      11.14       10.90     1.16    [1.13,1.18]    1.13      1.13
                           0.74      13.54       11.75      11.75       11.63     1.16    [1.14,1.18]    1.15      1.15
                           0.75      14.45       12.39      12.39       12.36     1.17    [1.15,1.19]    1.17      1.17
                           0.76      15.41       13.07      13.07       13.03     1.18    [1.06,1.19]    1.18      1.18
                           0.77      16.50       13.78      13.78       13.85     1.19    [1.04,1.21]    1.20      1.20
