experiment,detector,point_index,point,sweep_value,power_uw,detection_efficiency,photons_per_bright_dwell,contrast,switching_ratio,p_bright_stationary,gamma_tot_khz,horizon_us,target_fidelity,t_threshold_us,t_adaptive_count_us,t_fixed_count_mmpp_us,t_adaptive_mmpp_us,speedup_mmpp,speedup_mmpp_ci_low,speedup_mmpp_ci_high,speedup_count,speedup_count_ci_low,speedup_count_ci_high,speedup_fixed_count_mmpp,speedup_fixed_count_mmpp_ci_low,speedup_fixed_count_mmpp_ci_high
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,0.1361684065832894,47.27834437446891,100.0,0.55,0.8493394318885562,3.079357183433021,3.079357183433021,0.8345213367046503,1.0177564006241224,0.961337048037716,1.1923897852507672,0.2758171206828531,0.27359509989478675,0.3343389155254174,0.2758171206828531,0.27359509989478675,0.3343389155254174
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,0.1361684065832894,47.27834437446891,100.0,0.56,1.1438177167284262,3.079357183433021,3.079357183433021,1.053837176222013,1.0853837220176574,0.9925862750324989,1.1219292931597942,0.37144691199909496,0.2940464460692864,0.4116722098356028,0.37144691199909496,0.2940464460692864,0.4116722098356028
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,0.1361684065832894,47.27834437446891,100.0,0.57,1.3203636640512302,3.079357183433021,3.079357183433021,1.2260321383028339,1.0769405000092225,1.0294444695938483,1.1242241186874629,0.4287789903538318,0.39383255718518384,0.4754550280311601,0.4287789903538318,0.39383255718518384,0.4754550280311601
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,0.1361684065832894,47.27834437446891,100.0,0.58,1.5006187638445476,3.079357183433021,3.079357183433021,1.4263634250788195,1.0520591999627478,1.0248717710248196,1.0980197869080452,0.48731559038291977,0.4424655494769864,0.5663571653382972,0.48731559038291977,0.4424655494769864,0.5663571653382972
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,0.1361684065832894,47.27834437446891,100.0,0.59,1.7656791781034504,3.079357183433021,3.079357183433021,1.632335126417406,1.081689139397927,1.050513918898351,1.11174050364583,0.5733921311898554,0.5043917450616086,0.6361684029298145,0.5733921311898554,0.5043917450616086,0.6361684029298145
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,0.1361684065832894,47.27834437446891,100.0,0.6,1.9720610279462767,3.079357183433021,3.079357183433021,1.8375503650082212,1.0732010754641024,1.0373905018826917,1.1154086606017592,0.640413213041991,0.5886998764334062,0.7327131606811921,0.640413213041991,0.5886998764334062,0.7327131606811921
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,0.1361684065832894,47.27834437446891,100.0,0.61,2.2508180259952013,3.079357183433021,3.079357183433021,2.068565020317045,1.0881060077339135,1.0408193679932454,1.1252812779303212,0.7309376249382922,0.6521040578497259,0.8318662615403792,0.7309376249382922,0.6521040578497259,0.8318662615403792
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,0.1361684065832894,47.27834437446891,100.0,0.62,2.5362644776042536,3.079357183433021,3.079357183433021,2.328622564454233,1.0891694155676475,1.0543714538068836,1.117826179027733,0.8236343907258915,0.7369275011246296,0.9196767010521532,0.8236343907258915,0.7369275011246296,0.9196767010521532
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,0.1361684065832894,47.27834437446891,100.0,0.63,2.834385552483426,3.079357183433021,3.079357183433021,3.079357183433021,0.9204471529748008,1.0694351630246548,1.1107622050345103,0.9204471529748008,0.8241212600907052,1.0228507040493071,0.9204471529748008,0.8241212600907052,1.0228507040493071
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,0.1361684065832894,47.27834437446891,100.0,0.64,3.114522365116276,3.079357183433021,3.079357183433021,3.079357183433021,1.011419650137517,1.0692046015142156,1.127449646672939,1.011419650137517,0.912817622804209,1.135958682026781,1.011419650137517,0.912817622804209,1.135958682026781
demo,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,high_flux,2.8995965459017876,15.0,1.0,2.8995965459017876,0.9607843137254902,6.343847409922766,0.1361684065832894,47.27834437446891,100.0,0.65,3.5082091076169544,3.4219864796727766,3.4219864796727766,3.4025087092850104,1.0310654306463642,1.083062483672525,1.1466888420682968,1.0251966594422146,1.0039509141271028,1.1593093015566944,1.0251966594422146,1.0039509141271028,1.1593093015566944
