
====================================================================================================
RATE-NOISE CORRELATION-TIME SWEEP (GAUSSIAN, SIGMA = 0.2): run-time reduction at matched balanced fidelity
  Noise much faster than the 120 us bright dwell averages out within a dwell; noise much slower is quasi-static and the calibrated cutoff absorbs it. The damage should peak in between.
  detector: ideal detector (no dead time, no afterpulsing)
  rate noise: ou rate noise, sigma = 0.2, tau_c = 0.01 ms, photon order 3.98287, mean-renormalised
  physics layer: builtin-reference
====================================================================================================
         point  ph/dwell     F*  t_thr(us) t_count(us)  t_fcm(us)  T_mmpp(us)  sp_mmpp         95% CI  sp_fcm  sp_count
                           0.83      15.85       12.89      12.91       12.49     1.27    [1.21,1.29]    1.23      1.23
                           0.84      17.16       13.45      13.47       13.13     1.31    [1.27,1.32]    1.27      1.28
                           0.85      18.63       14.03      14.05       13.95     1.34    [1.19,1.34]    1.33      1.33
                           0.86      20.36       19.79      19.82       16.49     1.23    [1.19,1.32]    1.03      1.03
                           0.87      22.16       20.93      20.95       16.75     1.32    [1.27,1.36]    1.06      1.06
                           0.88      24.53       22.13      22.14       17.94     1.37    [1.14,1.40]    1.11      1.11
                           0.89      28.16       23.39      23.40       22.18     1.27    [1.19,1.41]    1.20      1.20
--------------------------------------------------------------------------------------------------------------------
      tau0.1ms      10.4   0.55       1.20        4.21       4.21        1.15     1.04    [1.03,1.08]    0.28      0.28
                           0.56       1.48        4.21       4.21        1.38     1.07    [1.05,1.10]    0.35      0.35
                           0.57       1.73        4.21       4.21        1.65     1.05    [1.04,1.07]    0.41      0.41
                           0.58       2.04        4.21       4.21        1.91     1.07    [1.05,1.09]    0.49      0.49
                           0.59       2.38        4.21       4.21        2.19     1.09    [1.06,1.11]    0.56      0.56
                           0.60       2.70        4.21       4.21        2.50     1.08    [1.06,1.10]    0.64      0.64
                           0.61       3.00        4.21       4.21        2.82     1.06    [1.05,1.08]    0.71      0.71
                           0.62       3.38        4.21       4.21        3.08     1.09    [1.07,1.11]    0.80      0.80
                           0.63       3.66        4.21       4.21        3.37     1.09    [1.07,1.10]    0.87      0.87
                           0.64       4.00        4.21       4.21        3.68     1.09    [1.00,1.09]    0.95      0.95
                           0.65       4.35        4.21       4.21        4.21     1.03    [1.00,1.09]    1.03      1.03
                           0.66       4.71        4.68       4.68        4.28     1.10    [1.04,1.11]    1.01      1.01
                           0.67       5.10        4.93       4.94        4.74     1.07    [1.05,1.09]    1.03      1.03
                           0.68       5.47        5.20       5.20        4.91     1.11    [1.09,1.12]    1.05      1.05
                           0.69       5.86        5.48       5.48        5.21     1.12    [1.11,1.13]    1.07      1.07
                           0.70       6.27        5.77       5.77        5.54     1.13    [1.12,1.15]    1.09      1.09
                           0.71       6.71        6.08       6.08        5.88     1.14    [1.13,1.15]    1.10      1.10
                           0.72       7.18        6.40       6.41        6.25     1.15    [1.14,1.16]    1.12      1.12
                           0.73       7.71        6.75       6.75        6.64     1.16    [1.15,1.17]    1.14      1.14
                           0.74       8.28        7.11       7.11        7.06     1.17    [1.16,1.18]    1.16      1.17
                           0.75       8.89        7.49       7.50        7.85     1.13    [1.11,1.18]    1.19      1.19
