experiment,detector,physics_layer,efficiency_model,point_index,point,sweep_value,power_uw,detection_efficiency,photons_per_bright_dwell,contrast,switching_ratio,snr_per_bright_dwell,p_bright_stationary,gamma_tot_khz,horizon_us,noise_sigma,noise_tau_c_ms,noise_kind,noise_photon_order,noise_renormalise,q_excess_finest_bin,target_fidelity,t_threshold_us,t_adaptive_count_us,t_fixed_count_mmpp_us,t_adaptive_mmpp_us,speedup_mmpp,speedup_mmpp_ci_low,speedup_mmpp_ci_high,speedup_count,speedup_count_ci_low,speedup_count_ci_high,speedup_fixed_count_mmpp,speedup_fixed_count_mmpp_ci_low,speedup_fixed_count_mmpp_ci_high
power,ideal,nv_charge_readout_master_v1_4,thin_all_counts,0,P0.875,0.875,0.875,1.0,171.45991687013145,0.9184268594645132,7.871161989405721,32.32294520680136,0.1127248043936339,0.2631688988965571,22799.046639467833,0.0,0.1,off,2.0,mean,-0.4062081894339915,0.55,2.8348038875428396,9.080935534601783,9.080935534601783,2.704005462658488,1.048372100829913,1.0295108539095388,1.0717142016445178,0.31217090758338384,0.2906048303156171,0.33359105651823623,0.31217090758338384,0.2906048303156171,0.33359105651823623
power,ideal,nv_charge_readout_master_v1_4,thin_all_counts,0,P0.875,0.875,0.875,1.0,171.45991687013145,0.9184268594645132,7.871161989405721,32.32294520680136,0.1127248043936339,0.2631688988965571,22799.046639467833,0.0,0.1,off,2.0,mean,-0.4062081894339915,0.56,3.4274349504016803,9.080935534601783,9.080935534601783,3.2184885739142017,1.0649206519423389,1.0425436979251919,1.0866244300751449,0.37743192178183216,0.35215149674021334,0.3974289301440854,0.37743192178183216,0.35215149674021334,0.3974289301440854
power,ideal,nv_charge_readout_master_v1_4,thin_all_counts,0,P0.875,0.875,0.875,1.0,171.45991687013145,0.9184268594645132,7.871161989405721,32.32294520680136,0.1127248043936339,0.2631688988965571,22799.046639467833,0.0,0.1,off,2.0,mean,-0.4062081894339915,0.57,3.9824216494276654,9.080935534601783,9.080935534601783,3.8110014811279584,1.0449803468061027,1.0380492839063489,1.0555948995519056,0.43854750804618525,0.4138418353763979,0.46250692017731515,0.43854750804618525,0.4138418353763979,0.46250692017731515
power,ideal,nv_charge_readout_master_v1_4,thin_all_counts,0,P0.875,0.875,0.875,1.0,171.45991687013145,0.9184268594645132,7.871161989405721,32.32294520680136,0.1127248043936339,0.2631688988965571,22799.046639467833,0.0,0.1,off,2.0,mean,-0.4062081894339915,0.58,4.5612746450873,9.080935534601783,9.080935534601783,4.299975504483191,1.0607675881715317,1.0428527250804225,1.0867502313264987,0.5022912702889616,0.4755100705640995,0.535850649595559,0.5022912702889616,0.4755100705640995,0.535850649595559
power,ideal,nv_charge_readout_master_v1_4,thin_all_counts,0,P0.875,0.875,0.875,1.0,171.45991687013145,0.9184268594645132,7.871161989405721,32.32294520680136,0.1127248043936339,0.2631688988965571,22799.046639467833,0.0,0.1,off,2.0,mean,-0.4062081894339915,0.59,5.27837672497484,9.080935534601783,9.080935534601783,4.851687786193923,1.087946495649434,1.0667416088049753,1.1083653265876439,0.5812591340244887,0.5456181662150951,0.6136577804369362,0.5812591340244887,0.5456181662150951,0.6136577804369362
power,ideal,nv_charge_readout_master_v1_4,thin_all_counts,0,P0.875,0.875,0.875,1.0,171.45991687013145,0.9184268594645132,7.871161989405721,32.32294520680136,0.1127248043936339,0.2631688988965571,22799.046639467833,0.0,0.1,off,2.0,mean,-0.4062081894339915,0.6,5.909168384084432,9.080935534601783,9.080935534601783,5.474188015759965,1.0794602536617626,1.0675394574924972,1.0943604452676015,0.6507224240903677,0.6207503678326703,0.6812717596689791,0.6507224240903677,0.6207503678326703,0.6812717596689791
power,ideal,nv_charge_readout_master_v1_4,thin_all_counts,0,P0.875,0.875,0.875,1.0,171.45991687013145,0.9184268594645132,7.871161989405721,32.32294520680136,0.1127248043936339,0.2631688988965571,22799.046639467833,0.0,0.1,off,2.0,mean,-0.4062081894339915,0.61,6.562592539770687,9.080935534601783,9.080935534601783,6.1261199595458695,1.071247801725576,1.0655777041400158,1.0801998869858447,0.7226780230698411,0.6897454727335129,0.7555827059685988,0.7226780230698411,0.6897454727335129,0.7555827059685988
power,ideal,nv_charge_readout_master_v1_4,thin_all_counts,0,P0.875,0.875,0.875,1.0,171.45991687013145,0.9184268594645132,7.871161989405721,32.32294520680136,0.1127248043936339,0.2631688988965571,22799.046639467833,0.0,0.1,off,2.0,mean,-0.4062081894339915,0.62,7.274872878618227,9.080935534601783,9.080935534601783,6.695037822886956,1.086606688575994,1.0715446630091117,1.102440263470144,0.8011149127640234,0.7622044706931731,0.8366124577765183,0.8011149127640234,0.7622044706931731,0.8366124577765183
power,ideal,nv_charge_readout_master_v1_4,thin_all_counts,0,P0.875,0.875,0.875,1.0,171.45991687013145,0.9184268594645132,7.871161989405721,32.32294520680136,0.1127248043936339,0.2631688988965571,22799.046639467833,0.0,0.1,off,2.0,mean,-0.4062081894339915,0.63,7.99479266213669,9.080935534601783,9.080935534601783,7.316789704720325,1.0926639940162501,1.0794812349266347,1.1038160781619346,0.8803930643129796,0.8382834627747514,0.9218759981852864,0.8803930643129796,0.8382834627747514,0.9218759981852864
power,ideal,nv_charge_readout_master_v1_4,thin_all_counts,0,P0.875,0.875,0.875,1.0,171.45991687013145,0.9184268594645132,7.871161989405721,32.32294520680136,0.1127248043936339,0.2631688988965571,22799.046639467833,0.0,0.1,off,2.0,mean,-0.4062081894339915,0.64,8.74988682088895,9.080935534601783,9.080935534601783,7.996282171863284,1.094244379178788,0.998123421895331,1.1048593276624747,0.9635446466444549,0.9219019688638636,1.0032708084285114,0.9635446466444549,0.9219019688638636,1.0032708084285114
