experiment,detector,point_index,point,sweep_value,method,max_balanced_fidelity
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,eta0.02,0.02,threshold,0.573125
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,eta0.02,0.02,adaptive_count,0.5724305555555556
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,eta0.02,0.02,fixed_count_mmpp,0.5696527777777778
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,0,eta0.02,0.02,adaptive_mmpp,0.5726388888888889
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,1,eta0.05,0.05,threshold,0.6434722222222222
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,1,eta0.05,0.05,adaptive_count,0.6435416666666667
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,1,eta0.05,0.05,fixed_count_mmpp,0.6422916666666667
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,1,eta0.05,0.05,adaptive_mmpp,0.6435416666666667
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,2,eta0.15,0.15,threshold,0.760625
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,2,eta0.15,0.15,adaptive_count,0.7602777777777778
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,2,eta0.15,0.15,fixed_count_mmpp,0.7611805555555555
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,2,eta0.15,0.15,adaptive_mmpp,0.7611805555555555
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,3,eta0.4,0.4,threshold,0.8473611111111111
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,3,eta0.4,0.4,adaptive_count,0.8444444444444446
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,3,eta0.4,0.4,fixed_count_mmpp,0.8509722222222222
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,3,eta0.4,0.4,adaptive_mmpp,0.8504166666666666
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,4,eta1,1.0,threshold,0.9016666666666666
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,4,eta1,1.0,adaptive_count,0.9008333333333334
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,4,eta1,1.0,fixed_count_mmpp,0.9109722222222222
efficiency,det_nonpar_dt2000ns_ap0.05_tau5000ns,4,eta1,1.0,adaptive_mmpp,0.9113194444444443
