
====================================================================================================
SWITCHING-RATE RATIO SWEEP AT FIXED GAMMA_TOT: run-time reduction at matched balanced fidelity
  Gamma_tot is held fixed, so blinks per window are constant and only the bright/dark asymmetry (p_bright = 1/(1+ratio)) varies.
  detector: non-paralyzable dead time 50 ns, afterpulse p = 0.01 with tau = 100 ns, filter rates corrected
  physics layer: builtin-reference
====================================================================================================
                           0.66       4.46        4.21        4.21     1.06    [1.09,1.10]      1.06
                           0.67       4.82        4.77        4.64     1.04    [1.09,1.12]      1.01
                           0.68       5.22        5.03        4.81     1.09    [1.09,1.16]      1.04
                           0.69       5.83        5.31        5.04     1.16    [1.11,1.19]      1.10
                           0.70       6.28        5.60        5.34     1.17    [1.14,1.20]      1.12
                           0.71       6.69        5.90        5.66     1.18    [1.15,1.20]      1.13
                           0.72       7.09        6.22        6.00     1.18    [1.15,1.21]      1.14
                           0.73       7.47        6.56        6.35     1.18    [1.16,1.20]      1.14
                           0.74       7.86        6.91        6.73     1.17    [1.16,1.19]      1.14
                           0.75       8.48        7.29        7.18     1.18    [1.17,1.20]      1.16
                           0.76       9.13        7.69        7.84     1.17    [1.18,1.21]      1.19
                           0.77       9.77        9.60        9.41     1.04    [1.18,1.22]      1.02
                           0.78      10.44       10.01        9.51     1.10    [1.19,1.23]      1.04
                           0.79      11.21       10.43        9.60     1.17    [1.19,1.24]      1.08
                           0.80      12.17       10.86        9.77     1.25    [1.22,1.26]      1.12
                           0.81      12.95       11.32       10.30     1.26    [1.24,1.27]      1.14
                           0.82      13.85       11.79       10.89     1.27    [1.25,1.29]      1.17
                           0.83      15.01       12.29       12.35     1.22    [1.26,1.32]      1.22
                           0.84      16.44       12.81       12.53     1.31    [1.28,1.34]      1.28
                           0.85      17.56       13.34       13.46     1.30    [1.32,1.35]      1.32
                           0.86      18.61       13.90       13.86     1.34    [1.31,1.37]      1.34
                           0.87      20.45       19.92       16.13     1.27    [1.31,1.39]      1.03
                           0.88      22.72       21.27       16.59     1.37    [1.33,1.44]      1.07
                           0.89      27.44       22.70       20.57     1.33    [1.34,1.55]      1.21
                           0.90      37.60       24.24       22.44     1.68    [1.38,1.74]      1.55
----------------------------------------------------------------------------------------------------
     ratio26.6       9.5   0.55       1.19        4.21        1.15     1.03    [1.01,1.18]      0.28
                           0.56       1.47        4.21        1.38     1.07    [1.01,1.12]      0.35
                           0.57       1.73        4.21        1.64     1.05    [1.03,1.10]      0.41
                           0.58       2.03        4.21        1.90     1.07    [1.03,1.13]      0.48
                           0.59       2.42        4.21        2.17     1.11    [1.05,1.15]      0.58
                           0.60       2.69        4.21        2.49     1.08    [1.05,1.13]      0.64
                           0.61       3.00        4.21        2.81     1.07    [1.05,1.11]      0.71
                           0.62       3.33        4.21        3.05     1.09    [1.06,1.12]      0.79
                           0.63       3.59        4.21        3.31     1.09    [1.06,1.11]      0.85
                           0.64       3.89        4.21        3.59     1.08    [1.06,1.10]      0.92
                           0.65       4.26        4.21        4.21     1.01    [1.08,1.10]      1.01
                           0.66       4.67        4.65        4.23     1.10    [1.09,1.11]      1.00
                           0.67       4.96        4.89        4.69     1.06    [1.10,1.13]      1.01
                           0.68       5.29        5.15        4.82     1.10    [1.10,1.15]      1.03
