experiment,detector,point_index,point,sweep_value,power_uw,detection_efficiency,photons_per_bright_dwell,contrast,switching_ratio,snr_per_bright_dwell,p_bright_stationary,gamma_tot_khz,horizon_us,noise_sigma,noise_tau_c_ms,noise_kind,noise_photon_order,noise_renormalise,q_excess_finest_bin,target_fidelity,t_threshold_us,t_adaptive_count_us,t_fixed_count_mmpp_us,t_adaptive_mmpp_us,speedup_mmpp,speedup_mmpp_ci_low,speedup_mmpp_ci_high,speedup_count,speedup_count_ci_low,speedup_count_ci_high,speedup_fixed_count_mmpp,speedup_fixed_count_mmpp_ci_low,speedup_fixed_count_mmpp_ci_high
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.018820558966563317,0.55,0.5197046552390624,1.5986005170481763,1.5986005170481763,0.5023970274417814,1.0344500999247783,1.0100227287001682,1.0680130636599083,0.3250997667626804,0.3024733123883287,0.3518918572022491,0.3250997667626804,0.3024733123883287,0.3518918572022491
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.018820558966563317,0.56,0.6279947982811063,1.5986005170481763,1.5986005170481763,0.5987398060718391,1.0488609441239607,1.0315226145183038,1.067830595888785,0.3928403572899512,0.3682877775685266,0.41611162865592594,0.3928403572899512,0.3682877775685266,0.41611162865592594
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.018820558966563317,0.57,0.7394189025300683,1.5986005170481763,1.5986005170481763,0.699923489972456,1.0564281855423463,1.0400211896888374,1.0708467630995675,0.46254138832346237,0.43516042751707856,0.48876328021203924,0.46254138832346237,0.43516042751707856,0.48876328021203924
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.018820558966563317,0.58,0.8601520176723728,1.5986005170481763,1.5986005170481763,0.7951325147253826,1.081771908132126,1.0584235115123715,1.10638466490917,0.5380656446056002,0.5065136893632972,0.5729567974703988,0.5380656446056002,0.5065136893632972,0.5729567974703988
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.018820558966563317,0.59,0.9817648061264264,1.5986005170481763,1.5986005170481763,0.9032926098799614,1.086873506312526,1.0690150247620722,1.1068901700076217,0.6141401780222491,0.5855687837600011,0.6458794786476932,0.6141401780222491,0.5855687837600011,0.6458794786476932
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.018820558966563317,0.6,1.1026861690307372,1.5986005170481763,1.5986005170481763,1.0261654805369833,1.0745695406297544,1.0627070007188313,1.0885318872481873,0.6897821921557067,0.6528311462752111,0.7263909734611708,0.6897821921557067,0.6528311462752111,0.7263909734611708
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.018820558966563317,0.61,1.2280067603854385,1.5986005170481763,1.5986005170481763,1.130396958646362,1.0863500215499193,1.0754094479810263,1.1004312336647573,0.7681761311155829,0.7330192554525593,0.8045163271312689,0.7681761311155829,0.7330192554525593,0.8045163271312689
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.018820558966563317,0.62,1.3495255839243183,1.5986005170481763,1.5986005170481763,1.232497663232705,1.0949518398149836,1.078913424214826,1.1109432386602884,0.8441918850471937,0.8059311926077917,0.8791004138012777,0.8441918850471937,0.8059311926077917,0.8791004138012777
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.018820558966563317,0.63,1.4698916518801923,1.5986005170481763,1.5986005170481763,1.343820397122374,1.0938155537955698,1.0810263648978715,1.1074621036598382,0.9194865360073537,0.8812756802315393,0.9571653741497621,0.9194865360073537,0.8812756802315393,0.9571653741497621
ratio,det_nonpar_dt50ns_ap0.01_tau100ns,0,ratio0.5,0.5,5.437,1.0,72.62271511602958,0.9249776330930897,0.5,9.9340572406218,0.6666666666666666,9.422120008455401,636.7993609310438,0.0,0.1,off,2.0,mean,-0.018820558966563317,0.64,1.5960866853239326,1.5986005170481763,1.5986005170481763,1.4651981205267213,1.089331649395072,1.0009105140502579,1.1021989242385926,0.9984274797252752,0.961170870330195,1.041329037529557,0.9984274797252752,0.961170870330195,1.041329037529557
