experiment,detector,physics_layer,point_index,point,photons_per_bright_dwell,snr_per_bright_dwell,horizon_us,n_epochs,epoch_dt_us,a_over_c,risk_grid_sprt,risk_exhaustion,risk_exact_sprt,risk_learned,best_boundary_risk,risk_reduction_pct,F_grid_sprt,T_grid_sprt,F_exhaustion,T_exhaustion,F_exact_sprt,T_exact_sprt,F_learned,T_learned,L,offset,learned_cutoff
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,2.0,0.7299305555555556,0.7299305555555556,0.5129951119834736,0.5,0.5129951119834736,2.5331843676304326,0.6606944444444445,0.78125,0.6606944444444445,0.78125,0.5145138888888888,0.05501800174472493,0.5,0.0,0.1,0.0,-1.0
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,3.299296148196041,0.5760984849890546,0.5760984849890546,0.5021617895811409,0.5,0.5021617895811409,0.4304966299694083,0.6606944444444445,0.78125,0.6606944444444445,0.78125,0.5145138888888888,0.05501800174472493,0.5,0.0,0.1,0.0,-1.0
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,5.442677536750615,0.4828470376155825,0.4828470376155825,0.47149050680176874,0.4828669739325353,0.47149050680176874,-2.4128729988512014,0.6606944444444445,0.78125,0.6606944444444445,0.78125,0.6995833333333333,0.9310997468289861,0.6606944444444445,0.7813585069444444,0.1,0.0,1.1163299043610193
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,8.978502516437212,0.4041566100092661,0.4041566100092661,0.3896054729131742,0.3994485282727332,0.3896054729131742,-2.52641609111907,0.8160416666666667,1.97705078125,0.8160416666666667,1.97705078125,0.8228472222222223,1.9075070578970243,0.7592361111111111,1.4247504340277777,0.5286807249936678,-0.5,0.6805815869452603
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,14.811369384524872,0.31751653716359624,0.31751653716359624,0.30593945565848846,0.31745495635353604,0.30593945565848846,-3.7639802523222157,0.8492361111111111,2.469835069444444,0.8492361111111111,2.469835069444444,0.8228472222222223,1.9075070578970243,0.8160416666666667,1.9772677951388888,0.6510174977556199,-0.5,0.2761481979760436
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,24.43354697993584,0.25413014712057547,0.25413014712057547,0.24310846037213368,0.2518609826635343,0.24310846037213368,-3.600254091528881,0.8654166666666667,2.9209526909722223,0.8654166666666667,2.9209526909722223,0.8574305555555556,2.456524768985713,0.8492361111111111,2.4701605902777777,0.9871679133389349,-0.5,-0.09825110688496852
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,40.30675371883467,0.20705140435060582,0.20705140435060582,0.20088286925409113,0.20860540181532633,0.20088286925409113,-3.8442962259102273,0.8654166666666667,2.9209526909722223,0.8654166666666667,2.9209526909722223,0.8713888888888889,2.9130399562962794,0.8665277777777778,3.0283745659722223,0.9871679133389349,-0.5,-0.7585095108323048
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,66.4919586454188,0.17851274600936481,0.17851274600936481,0.17242152090563417,0.17262161119868685,0.17242152090563417,-0.116047168591088,0.8654166666666667,2.9209526909722223,0.8654166666666667,2.9209526909722223,0.8713888888888889,2.9130399562962794,0.8901388888888888,4.173068576388889,0.9871679133389349,-0.5,-0.3888808254281043
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,109.68833152242031,0.16121289958191082,0.16121289958191082,0.15516853901492467,0.14818752127180737,0.15516853901492467,4.498990444477818,0.8654166666666667,2.9209526909722223,0.8654166666666667,2.9209526909722223,0.8713888888888889,2.9130399562962794,0.8907638888888889,4.272515190972222,0.9871679133389349,-0.5,-0.4352991432483533
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,180.94714484698588,0.14515002114251813,0.14280264818790778,0.1349541399948599,0.1330230643260924,0.1349541399948599,1.4309125076422557,0.8788888888888888,4.349772135416666,0.8788888888888888,3.925021701388889,0.8884027777777778,4.2263675833846035,0.89375,4.844509548611112,1.2155986674457397,-0.5,-0.3023776900062014
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,298.4991090103658,0.13568325556352762,0.134260301788436,0.125755949855938,0.12277141544455414,0.125755949855938,2.3732749144695275,0.8788888888888888,4.349772135416666,0.8788888888888888,3.925021701388889,0.8884027777777778,4.2263675833846035,0.8939583333333333,4.993815104166666,1.2155986674457397,-0.5,-0.32517472093482935
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,492.41848029892515,0.1299445978900316,0.12137485700087478,0.12018009990142502,0.11642483068135386,0.12018009990142502,3.1247013633299816,0.8788888888888888,4.349772135416666,0.8920833333333333,6.627061631944445,0.8884027777777778,4.2263675833846035,0.8950694444444445,5.659993489583334,1.2155986674457397,-0.5,-0.32517472093482935
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,812.3171976753961,0.11873948093784176,0.11607488571079017,0.11680007597870944,0.11259454374928636,0.11607488571079017,2.9983591542578423,0.8920833333333333,8.791558159722221,0.8920833333333333,6.627061631944445,0.8884027777777778,4.2263675833846035,0.8947916666666667,5.999945746527778,1.4968883209522534,-0.5,-0.33318635451895007
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,1340.0375007019181,0.11447734736039139,0.11286209664789715,0.11004065916245832,0.11017599074481649,0.11004065916245832,-0.12298325308863116,0.8920833333333333,8.791558159722221,0.8920833333333333,6.627061631944445,0.8938194444444445,5.172683589844446,0.8950694444444445,7.029079861111112,1.4968883209522534,-0.5,-0.40571450006360055
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,2210.590282252042,0.11189368503606156,0.1085863258782356,0.10920047314784798,0.1087343118643104,0.1085863258782356,-0.13628418208084517,0.8920833333333333,8.791558159722221,0.895,7.927897135416666,0.8938194444444445,6.675800482723622,0.8946527777777777,7.487467447916667,1.4968883209522534,-0.5,-0.41289175648117
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,3646.6960017368815,0.11032749503172229,0.10717399452316308,0.10801119909687186,0.10744842363601878,0.10717399452316308,-0.256059423815161,0.8920833333333333,8.791558159722221,0.895,7.927897135416666,0.8938194444444445,6.675800482723622,0.895,8.928656684027779,1.4968883209522534,-0.5,-0.3370492741981128
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,6015.765036086199,0.10692772388406262,0.10631785352118314,0.10729027317961137,0.10646115503295821,0.10631785352118314,-0.1347859339038606,0.895,11.596733940972221,0.895,7.927897135416666,0.8938194444444445,6.675800482723622,0.8951388888888889,9.62548828125,1.8432684284784902,-0.2,-0.39224719141304265
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,9923.895206005807,0.10616856674725404,0.10579886949336373,0.1068532551703886,0.10563348587085025,0.10579886949336373,0.1563188938647876,0.895,11.596733940972221,0.895,7.927897135416666,0.8938194444444445,6.675800482723622,0.8954166666666667,10.42160373263889,1.8432684284784902,-0.2,-0.39224719141304265
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,16370.934614138043,0.1057083733589014,0.10548426661777575,0.10658833926736382,0.10509726170775507,0.10548426661777575,0.3668840125921336,0.895,11.596733940972221,0.895,7.927897135416666,0.8938194444444445,6.675800482723622,0.8955555555555555,10.68722873263889,1.8432684284784902,-0.2,-0.39224719141304265
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,27006.280757397446,0.10542940877513449,0.10529355753228793,0.10642774992277308,0.1048600698575484,0.10529355753228793,0.4116943950788354,0.895,11.596733940972221,0.895,7.927897135416666,0.8938194444444445,6.675800482723622,0.8956944444444445,14.97536892361111,1.8432684284784902,-0.2,-0.39224719141304265
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,44550.85903999113,0.10526030326217868,0.10517795161095098,0.10633040228413897,0.10457456465818696,0.10517795161095098,0.5736819775649578,0.895,11.596733940972221,0.895,7.927897135416666,0.8938194444444445,6.675800482723622,0.8957638888888889,15.07839626736111,1.8432684284784902,-0.2,0.08844515154459909
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,73493.23881473376,0.1051577932083005,0.1051078724691315,0.10627139112887343,0.10438191036007732,0.1051078724691315,0.6906829069986004,0.895,11.596733940972221,0.895,7.927897135416666,0.8938194444444445,6.675800482723622,0.8958333333333333,15.818956163194443,1.8432684284784902,-0.2,0.08844515154459909
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,121237.97986995146,0.10509565264905775,0.10506539120120544,0.10623561916260249,0.1041589450264733,0.10506539120120544,0.8627447767231432,0.895,11.596733940972221,0.895,7.927897135416666,0.8938194444444445,6.675800482723622,0.8959722222222222,15.902452256944443,1.8432684284784902,-0.2,0.08844515154459909
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,9.932170229495307,7.478904304027249,100.0,128,0.78125,200000.0,0.10505798366970485,0.10503963948567709,0.10621393455796918,0.10410781629774306,0.10503963948567709,0.8871157522023755,0.895,11.596733940972221,0.895,7.927897135416666,0.8938194444444445,6.675800482723622,0.8959722222222222,16.007703993055557,1.8432684284784902,-0.2,0.08844515154459909
demo,ideal,nv_charge_readout_master_v1_4,1,moderate,27.43339830432224,12.911749357161563,250.0,128,1.953125,2.0,1.3060763888888889,1.3060763888888889,0.5522932419829001,0.5,0.5522932419829001,9.46838346150163,0.6704861111111111,1.953125,0.6704861111111111,1.953125,0.5127083333333333,0.1300031506324669,0.5,0.0,0.1,0.0,-1.0
