experiment,detector,physics_layer,point_index,point,target_fidelity,t_threshold_us,t_exact_mmpp_us,t_grid_sprt_us,t_exhaustion_us,t_learned_us,speedup_exact_mmpp,speedup_exact_mmpp_ci_low,speedup_exact_mmpp_ci_high,speedup_grid_sprt,speedup_grid_sprt_ci_low,speedup_grid_sprt_ci_high,speedup_exhaustion,speedup_exhaustion_ci_low,speedup_exhaustion_ci_high,speedup_learned,speedup_learned_ci_low,speedup_learned_ci_high
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.55,0.21100375198177157,0.20138493441218575,0.78125,0.78125,0.7813585069444444,1.0477633423655142,1.0248513654240532,1.0783999599261576,0.2700848025366676,0.25002313532274634,0.2945245174937284,0.2700848025366676,0.25002313532274634,0.2945245174937284,0.2700472959677832,0.2500057738106761,0.2944781413777035
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.56,0.2578590480420856,0.24480238013051317,0.78125,0.78125,0.7813585069444444,1.0533355431618412,1.0339583896889906,1.073284054852289,0.33005958149386955,0.308850514207619,0.355548714210546,0.33005958149386955,0.308850514207619,0.355548714210546,0.33001374625133467,0.3088285333715396,0.355498721210303
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.57,0.30399745915388415,0.29112029984069565,0.78125,0.78125,0.7813585069444444,1.0442331205355142,1.0337349352443919,1.0597758509203845,0.3891167477169717,0.3691924844414622,0.41126919741872675,0.3891167477169717,0.3691924844414622,0.41126919741872675,0.389062711229301,0.36911686585006087,0.4112120846291949
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.58,0.3465644287555614,0.3282318166527858,0.78125,0.78125,0.7813585069444444,1.0558526357673865,1.0360841333360538,1.0742082727225013,0.4436024688071186,0.4219878648923217,0.46771536422564125,0.4436024688071186,0.4219878648923217,0.46771536422564125,0.4435408659090757,0.42190069978935324,0.46768369824211137
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.59,0.3932775578746863,0.3700742460149375,0.78125,0.78125,0.7813585069444444,1.0626990721716212,1.0419633468637413,1.0838028849130557,0.5033952740795985,0.47822758076400024,0.5348535437096859,0.5033952740795985,0.47822758076400024,0.5348535437096859,0.5033253677785181,0.4781279707700897,0.5347792688112398
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.6,0.446151508133201,0.41725067654973813,0.78125,0.78125,0.7813585069444444,1.0692649124560922,1.0553122531464085,1.0844348923792853,0.5710739304104973,0.5445849227514482,0.6024062649836576,0.5710739304104973,0.5445849227514482,0.6024062649836576,0.5709946256013859,0.5445083514831699,0.6023633868937974
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.61,0.49636068583245724,0.4646012761523515,0.78125,0.78125,0.7813585069444444,1.068358421102768,1.0604848838125065,1.0812462140616366,0.6353416778655453,0.6057257608698103,0.6695429203788603,0.6353416778655453,0.6057257608698103,0.6695429203788603,0.6352534482199592,0.6057215598248773,0.6694952631085848
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.62,0.548723560185997,0.5066666874193726,0.78125,0.78125,0.7813585069444444,1.0830069823236939,1.068133772003422,1.0955134873351122,0.7023661570380761,0.6710849319512404,0.7374044860045363,0.7023661570380761,0.6710849319512404,0.7374044860045363,0.7022686197297804,0.6710371681852408,0.737300802788962
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.63,0.5984866123195001,0.5525407383003827,0.78125,0.78125,0.7813585069444444,1.0831538216719494,1.0694059028913183,1.0972119889104452,0.76606286376896,0.7354261433991404,0.8094847902734498,0.76606286376896,0.7354261433991404,0.8094847902734498,0.7659564809243873,0.7353240150637148,0.8094271746877812
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.64,0.6568659287403755,0.6025682664012039,0.78125,0.78125,0.7813585069444444,1.090110391414172,1.0199112485061592,1.0980830815848475,0.8407883887876807,0.8026670364624141,0.882915472436212,0.8407883887876807,0.8026670364624141,0.882915472436212,0.8406716288392309,0.802446920807122,0.8827867281306527
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.65,0.7133768635813279,0.6735497919550177,0.78125,0.78125,0.7813585069444444,1.059130107531783,1.024348156159762,1.0942843646788243,0.9131223853840997,0.8762318855671001,0.9575753353143255,0.9131223853840997,0.8762318855671001,0.9575753353143255,0.9129955804423716,0.8761132449073044,0.9575071767574171
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.66,0.7757190640935989,0.7130589224645839,0.78125,0.78125,0.7813585069444444,1.0878751245583456,1.0565321309065325,1.1056758280874932,0.9929204020398066,0.9497435862072464,1.0142942222683502,0.9929204020398066,0.9497435862072464,1.0142942222683502,0.9927825155793095,0.9497402896847744,1.014158205175164
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.67,0.846531749530395,0.7747384893350152,0.8268513531314694,0.8268513531314694,0.8269642697966861,1.092667733930455,1.0732388051253092,1.1135439221475354,1.023801613584342,1.007171591276652,1.046540668350967,1.023801613584342,1.007171591276652,1.046540668350967,1.0236618200427445,1.007102975782766,1.0463266227456598
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.68,0.923790505133204,0.8199601190792102,0.8788271500325291,0.8788271500325291,0.8789449673115812,1.1266285806321803,1.111172257265151,1.1352328635130804,1.0511629108170026,1.0307871988957287,1.066775161835077,1.0511629108170026,1.0307871988957287,1.066775161835077,1.0510220087598787,1.0307159099694323,1.066678761843883
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.69,0.9896516834992934,0.8706565427117013,0.9340701405510008,0.9340701405510008,0.9341930283787114,1.1366728841397964,1.1261642909464018,1.148589399873966,1.059504678005771,1.0423893908372148,1.076548782003863,1.059504678005771,1.0423893908372148,1.076548782003863,1.0593653061368167,1.0422883674133583,1.0764198475813664
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.7,1.0561761698542975,0.9244874204588776,0.9927857001648989,0.9927857001648989,0.9929138304765052,1.1424451501244388,1.1297149032965461,1.1558732062670574,1.0638511107471327,1.0477422242234813,1.0803913241364338,1.0638511107471327,1.0477422242234813,1.0803913241364338,1.0637138263523154,1.0476022903774662,1.0801899663148513
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.71,1.123929609389265,0.9816465490798211,1.0551921142351224,1.0551921142351224,1.0553256605463148,1.1449432694922808,1.1310820904583332,1.1603646502744032,1.0651421615332752,1.0456345179849682,1.0850418100109505,1.0651421615332752,1.0456345179849682,1.0850418100109505,1.0650073729917984,1.045524355242447,1.0849563291006161
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.72,1.206562259190868,1.0423397073829468,1.1215213895194602,1.1215213895194602,1.1216605264457227,1.1575518524764281,1.1430236595480356,1.1680272135382606,1.0758263466627644,1.0520934883283253,1.0947684224052718,1.0758263466627644,1.0520934883283253,1.0947684224052718,1.0756928952596547,1.0519210766426292,1.094502527154006
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.73,1.294989108347353,1.1067853970511152,1.1920201166982851,1.1920201166982851,1.192165019407562,1.170045350975611,1.1601921053288644,1.178949570605969,1.0863819244378832,1.0668181790255273,1.1016291474013182,1.0863819244378832,1.0668181790255273,1.1016291474013182,1.0862498792246804,1.0666669682388354,1.1015209665054861
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.74,1.3860470373795346,1.1755362209243503,1.2669503871185315,1.2669503871185315,1.2671012307107408,1.1790764186659046,1.1324008189714763,1.185242986941749,1.094002615628753,1.078953266462661,1.1088392282579407,1.094002615628753,1.078953266462661,1.1088392282579407,1.09387237876967,1.0787611474181613,1.1086909951692452
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.75,1.4756654102718612,1.2523535358177196,1.3465907671641106,1.3465907671641106,1.3467477259704692,1.178313765296579,1.141125761262427,1.195092164936467,1.0958529096256755,1.0875743719817481,1.1043944167359585,1.0958529096256755,1.0875743719817481,1.1043944167359585,1.095725191745539,1.0874797673514094,1.1041721043318031
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.76,1.5706453155781006,1.4986892799600904,1.97705078125,1.97705078125,1.4310431415708185,1.0480126445022189,1.0342986405805352,1.2026633624379308,0.794438529588528,0.7918583235684672,1.100123636123315,0.794438529588528,0.7918583235684672,1.100123636123315,1.097552736148852,1.0940442843546772,1.1083513736809139
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.77,1.6910010874655874,1.5242330774078046,1.97705078125,1.97705078125,1.516029990463039,1.1094110950153357,1.0703958029614802,1.1458245257162278,0.8553149486612801,0.8177479012672794,0.8916960358912657,0.8553149486612801,0.8177479012672794,0.8916960358912657,1.115414007706475,1.102968912375177,1.1304965039861474
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.78,1.806929875930897,1.5502122456803953,1.97705078125,1.97705078125,1.606064041829324,1.1656016013070696,1.1305509091148018,1.1971252602785258,0.9139521822441287,0.8793441830794864,0.9492276497948237,0.9139521822441287,0.8793441830794864,0.9492276497948237,1.1250671385885613,1.1122610781247666,1.1377000638396826
demo,ideal,nv_charge_readout_master_v1_4,0,high_flux,0.79,1.9223619635034486,1.5766342052781048,1.97705078125,1.97705078125,1.7014450391375893,1.2192821626398498,1.1865938237638025,1.2472633365926944,0.9723381825771951,0.9368306231071384,1.011725306017184,0.9723381825771951,0.9368306231071384,1.011725306017184,1.1298407643410189,1.1161264972387195,1.145182344605471
