experiment,detector,physics_layer,point_index,point,sweep_value,method,max_balanced_fidelity
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,0,contrast0.5,0.5,threshold,0.823125
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,0,contrast0.5,0.5,adaptive_count,0.8194444444444444
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,0,contrast0.5,0.5,fixed_count_mmpp,0.8409722222222222
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,0,contrast0.5,0.5,adaptive_mmpp,0.841875
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,1,contrast0.7,0.7,threshold,0.8782638888888888
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,1,contrast0.7,0.7,adaptive_count,0.8750694444444445
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,1,contrast0.7,0.7,fixed_count_mmpp,0.8887499999999999
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,1,contrast0.7,0.7,adaptive_mmpp,0.8931944444444444
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,2,contrast0.85,0.85,threshold,0.9190277777777778
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,2,contrast0.85,0.85,adaptive_count,0.9081250000000001
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,2,contrast0.85,0.85,fixed_count_mmpp,0.9226388888888888
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,2,contrast0.85,0.85,adaptive_mmpp,0.9268055555555555
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,3,contrast0.95,0.95,threshold,0.9394444444444444
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,3,contrast0.95,0.95,adaptive_count,0.9290277777777778
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,3,contrast0.95,0.95,fixed_count_mmpp,0.9440277777777778
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,3,contrast0.95,0.95,adaptive_mmpp,0.9461111111111111
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,4,contrast0.99,0.99,threshold,0.9590277777777778
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,4,contrast0.99,0.99,adaptive_count,0.9588194444444444
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,4,contrast0.99,0.99,fixed_count_mmpp,0.9623611111111111
contrast,det_nonpar_dt2000ns_ap0.05_tau5000ns,nv_charge_readout_master_v1_4,4,contrast0.99,0.99,adaptive_mmpp,0.9626388888888888
